chinukh,smk
1,[284]
2,"[157, 158, 159, 289]"
3,[203]
4,[103]
9,"[94, 98]"
10,[219]
11,[36]
18,[242]
19,[222]
20,"[34, 35]"
21,[144]
22,[242]
23,[243]
25,[1]
27,[161]
28,[64]
29,[62]
30,[129]
31,"[260, 281, 283]"
32,"[281, 282]"
33,[50]
34,[82]
35,[304]
36,[262]
37,[235]
38,[19]
39,[162]
46,"[276, 277]"
63,[]
64,[88]
65,"[86, 87]"
66,[248]
68,[259]
69,[125]
70,[125]
73,[201]
74,[233]
75,[236]
78,[225]
79,[229]
80,[54]
83,[230]
87,[119]
92,[176]
108,[293]
109,[173]
110,[173]
111,[223]
113,[213]
122,[238]
130,[246]
147,[204]
148,[205]
153,"[200, 210, 223]"
155,[211]
156,[211]
157,[207]
158,[8]
162,[210]
163,[212]
165,[212]
181,[293]
187,[156]
190,[313]
192,[199]
193,[309]
194,[310]
195,[308]
197,[300]
198,[300]
200,[303]
201,[314]
202,[302]
203,[305]
204,[306]
205,[307]
206,[301]
207,"[287, 288, 200]"
208,[64]
212,[7]
214,[161]
224,[261]
227,[128]
229,[270]
230,[260]
231,[123]
232,[171]
233,[231]
234,[228]
235,[224]
236,[124]
237,[78]
238,[17]
239,[112]
240,[126]
241,[130]
242,[131]
243,[8]
244,[165]
246,[215]
247,[249]
248,[218]
249,[137]
250,[136]
251,[71]
252,[70]
253,[72]
254,[6]
255,[139]
256,[140]
258,[263]
259,[263]
263,[89]
264,[59]
266,[190]
267,[191]
268,[191]
270,[89]
271,[89]
287,[253]
291,[166]
294,[167]
295,[85]
296,[44]
297,[194]
298,[194]
303,[217]
304,[217]
305,[217]
306,[145]
313,[221]
319,[194]
323,[194]
324,[193]
325,[93]
337,[271]
338,[122]
343,[259]
347,[60]
349,[180]
364,[53]
378,[113]
385,[245]
386,[31]
387,[12]
392,[244]
405,[92]
406,[81]
417,[2]
419,"[105, 106]"
420,[104]
421,[153]
422,[153]
423,[154]
424,[18]
426,[135]
427,[290]
428,[66]
429,[68]
430,[109]
432,[4]
433,[11]
434,[45]
435,[108]
436,"[37, 38, 39, 40, 41, 42, 43]"
437,[160]
451,[196]
452,[200]
454,[177]
455,[178]
456,[27]
457,[116]
458,[116]
459,[117]
460,[117]
461,[117]
462,[116]
467,"[74, 75]"
468,[73]
471,[209]
472,[202]
475,[258]
477,[258]
478,[257]
479,[256]
480,[257]
492,[163]
493,[163]
510,[138]
511,[41]
512,[141]
515,[142]
516,[25]
517,[115]
518,[114]
519,[13]
521,[237]
529,[175]
538,[251]
539,[76]
540,[77]
541,[54]
542,[33]
543,[33]
544,[274]
545,[250]
546,[152]
547,[171]
548,[168]
549,[216]
550,[170]
551,[32]
552,[183]
557,[182]
558,[187]
559,"[297, 298]"
560,[295]
576,[272]
577,[272]
578,[273]
579,[189]
580,[189]
581,[]
582,[]
583,"[268, 269]"
585,[265]
586,[266]
587,[266]
589,[234]
591,[265]
595,[84]
596,[369]
597,[188]
598,[186]
599,[185]
602,[275]
603,[147]
611,"[46, 47]"
613,[155]
