Faith,אמונה
Love,אהבה 
,אורחים 
,אֵבֶל 
Trust,בטחון 
Blessing,ברכה 
,בית הכנסת 
,גזלה 
,גזל 
Arrogance,גאוה 
,גר 
,גאולה 
Judge,דינין 
,הכנעה 
,השגחה 
,הלבנת פנים 
,וידוי 
,זנות 
,הלב והעין 
Flattery,חנופה 
,חילול השם 
,חמדה 
,חתן 
,טהרת הלב 
Fear of God,יראה 
,יחוד השם 
,יצר הרע 
,כבוד אב ואם 
,כפורים 
Slander,לשון הרע 
,לולב 
,מציאות השם יתברך 
,מזוזה 
,מילה 
,מטר 
,נחמו 
,נר חנוכה 
Joy,שמחה 
,סוכה 
,שנאת חנם 
,ערבה 
,עצרת 
Humility,ענוה 
,עושר 
,פרנסה 
,פסח 
,פורים 
Charity,צדקה 
,ציצית 
,קדושה 
Jealousy,קנאה 
,רשות 
,ראש השנה 
Oath,שבועה 
Sabbath,שבת 
Peace,שלום 
,שבועות 
,תורה 
Prayer,תפלה 
Repentance,תשובה 
,תענית 
,תפלין 
,כתוב זאת זכרון בספר 
