Row # 12,"/שם ה""ח (דף ג' ע""ג)",Previous # 11,"/שם ה""ז (ג' סוע""ד)"
Row # 54,"/ה""א (י""א א')",Previous # 52,"/שם ה""ו (יו""ד ד')"
Row # 736,"/שם הי""א (ס' ב')",Previous # 727,"/שם ה""ו (סמ""ך א')"
Row # 821,"/ה""א (ב' ב')",Previous # 817,"/שם (ס""ה ד')"
Row # 1002,"/ה""א (י""א א')",Previous # 998,"/שם ה""ו (יו""ד ד')"
Row # 1118,"/שם (י""ח ב')",Previous # 1110,"/שם (י""ח ג')"
Row # 1847,"/שם ה""י (ס""א ג')",Previous # 1843,"/שם (ס""ט ב')"
Row # 2076,"/שם (ס""ג א')",Previous # 2072,"/שם (פ""ב רע""ד)"
Row # 2085,"/ה""א (ב' ב')",Previous # 2083,"/שם ה""ט (פ""ג ד')"
Row # 2185,"/שם (י""א רע""א)",Previous # 2178,"/שם (יו""ד ד')"
Row # 2853,"/שם ה""ו (ס""א א')",Previous # 2851,"/שם (סמ""ך ד')"
Row # 2914,"/ה""א (ב' א')",Previous # 2912,"/שם (ס""ו ד')"
Row # 3123,"/שם (י""א רע""א)",Previous # 3121,"/ה""א (יו""ד ד')"
Row # 3256,"/שם הי""ד (ט""ז ד')",Previous # 3246,"/ה""א (י""ז ג')"
